model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
dnn,0.1,2,4,0.5,10.0,0.031183362875133767
dnn,0.1,2,4,1.0,0.1,0.038814063803603235
dnn,0.1,2,4,1.0,1.0,0.03094594788302978
dnn,0.1,2,4,1.0,10.0,0.03096428555001816
dnn,0.1,2,8,0.0,0.1,0.04920314188612006
dnn,0.1,2,8,0.0,1.0,0.03057444719473521
dnn,0.1,2,8,0.0,10.0,0.030596731266627715
dnn,0.1,2,8,0.5,0.1,0.04404067127918824
dnn,0.1,2,8,0.5,1.0,0.030922667053838577
dnn,0.1,2,8,0.5,10.0,0.030618302262077735
dnn,0.1,2,8,1.0,0.1,0.03835043065746625
dnn,0.1,2,8,1.0,1.0,0.030915159842620298
dnn,0.1,2,8,1.0,10.0,0.03073955231532455
dnn,0.25,1,2,0.0,0.1,0.07896947876562382
dnn,0.25,1,2,0.0,1.0,0.07188407521423264
dnn,0.25,1,2,0.0,10.0,0.05460241725668311
dnn,0.25,1,2,0.5,0.1,0.07847499742618917
dnn,0.25,1,2,0.5,1.0,0.061921794768422835
dnn,0.25,1,2,0.5,10.0,0.054634402341519804
dnn,0.25,1,2,1.0,0.1,0.06356769327928001
dnn,0.25,1,2,1.0,1.0,0.06045091675128787
dnn,0.25,1,2,1.0,10.0,0.05516890173700328
dnn,0.25,1,4,0.0,0.1,0.0737833868251073
dnn,0.25,1,4,0.0,1.0,0.06612711750516609
dnn,0.25,1,4,0.0,10.0,0.05745951024024786
dnn,0.25,1,4,0.5,0.1,0.06799990414932837
dnn,0.25,1,4,0.5,1.0,0.06502550552443911
dnn,0.25,1,4,0.5,10.0,0.05666116545636519
dnn,0.25,1,4,1.0,0.1,0.06409982701608291
dnn,0.25,1,4,1.0,1.0,0.05900395297911018
dnn,0.25,1,4,1.0,10.0,0.053639807137660686
dnn,0.25,1,8,0.0,0.1,0.08686217278707774
dnn,0.25,1,8,0.0,1.0,0.06397380968633419
dnn,0.25,1,8,0.0,10.0,0.057024027622537686
dnn,0.25,1,8,0.5,0.1,0.07621622643879772
dnn,0.25,1,8,0.5,1.0,0.06362750027949611
dnn,0.25,1,8,0.5,10.0,0.053906009979546074
dnn,0.25,1,8,1.0,0.1,0.06396067034685984
dnn,0.25,1,8,1.0,1.0,0.05970804723755767
dnn,0.25,1,8,1.0,10.0,0.05482838924275712
dnn,0.25,2,2,0.0,0.1,0.06471016006389012
dnn,0.25,2,2,0.0,1.0,0.052930138179411494
dnn,0.25,2,2,0.0,10.0,0.05307294443560141
dnn,0.25,2,2,0.5,0.1,0.06036294119180336
dnn,0.25,2,2,0.5,1.0,0.05332916260696945
dnn,0.25,2,2,0.5,10.0,0.05288438165715584
dnn,0.25,2,2,1.0,0.1,0.06231958545666808
dnn,0.25,2,2,1.0,1.0,0.0528207981105273
dnn,0.25,2,2,1.0,10.0,0.053329174333872874
dnn,0.25,2,4,0.0,0.1,0.0873609334587915
dnn,0.25,2,4,0.0,1.0,0.0528447764304777
dnn,0.25,2,4,0.0,10.0,0.052493766116288795
dnn,0.25,2,4,0.5,0.1,0.07112666661288435
dnn,0.25,2,4,0.5,1.0,0.05273433207379033
dnn,0.25,2,4,0.5,10.0,0.052606276332711165
dnn,0.25,2,4,1.0,0.1,0.06414248838710288
dnn,0.25,2,4,1.0,1.0,0.05252177206799387
dnn,0.25,2,4,1.0,10.0,0.05307969683626045
dnn,0.25,2,8,0.0,0.1,0.07643288248820075
dnn,0.25,2,8,0.0,1.0,0.052906066742725674
dnn,0.25,2,8,0.0,10.0,0.052834380562417196
dnn,0.25,2,8,0.5,0.1,0.07145548362153932
dnn,0.25,2,8,0.5,1.0,0.052655196130896594
dnn,0.25,2,8,0.5,10.0,0.05352398923287789
dnn,0.25,2,8,1.0,0.1,0.06406836941062162
dnn,0.25,2,8,1.0,1.0,0.058581432143691936
dnn,0.25,2,8,1.0,10.0,0.05307969683626045
dnn,0.5,1,2,0.0,0.1,0.11361149221658708
dnn,0.5,1,2,0.0,1.0,0.08945073018471399
dnn,0.5,1,2,0.0,10.0,0.06732864343328403
dnn,0.5,1,2,0.5,0.1,0.085834612477726
dnn,0.5,1,2,0.5,1.0,0.07461549579379305
dnn,0.5,1,2,0.5,10.0,0.06580162146594376
dnn,0.5,1,2,1.0,0.1,0.0712123914914749
dnn,0.5,1,2,1.0,1.0,0.07242290992871858
dnn,0.5,1,2,1.0,10.0,0.06470150897124162
dnn,0.5,1,4,0.0,0.1,0.10045640772674233
dnn,0.5,1,4,0.0,1.0,0.09021898358650408
dnn,0.5,1,4,0.0,10.0,0.06869064224418255
dnn,0.5,1,4,0.5,0.1,0.08504995711545539
dnn,0.5,1,4,0.5,1.0,0.08102535259832318
dnn,0.5,1,4,0.5,10.0,0.0658914695508429
dnn,0.5,1,4,1.0,0.1,0.07138984102018489
dnn,0.5,1,4,1.0,1.0,0.0688656975371608
dnn,0.5,1,4,1.0,10.0,0.06458009350035962
dnn,0.5,1,8,0.0,0.1,0.0815166531332458
dnn,0.5,1,8,0.0,1.0,0.08206312882519949
dnn,0.5,1,8,0.0,10.0,0.06849656609643717
dnn,0.5,1,8,0.5,0.1,0.08986103131435813
dnn,0.5,1,8,0.5,1.0,0.0791329362320054
dnn,0.5,1,8,0.5,10.0,0.06323810786532705
dnn,0.5,1,8,1.0,0.1,0.07506473812002999
dnn,0.5,1,8,1.0,1.0,0.07090691841440276
dnn,0.5,1,8,1.0,10.0,0.06460872850303227
dnn,0.5,2,2,0.0,0.1,0.06530830940137092
dnn,0.5,2,2,0.0,1.0,0.06712081182134472
dnn,0.5,2,2,0.0,10.0,0.06712081182134472
dnn,0.5,2,2,0.5,0.1,0.09356402005224179
dnn,0.5,2,2,0.5,1.0,0.06837917219321145
dnn,0.5,2,2,0.5,10.0,0.06796040507739366
dnn,0.5,2,2,1.0,0.1,0.07340563849216172
dnn,0.5,2,2,1.0,1.0,0.06912367520203894
dnn,0.5,2,2,1.0,10.0,0.06528542664091218
dnn,0.5,2,4,0.0,0.1,0.0770084339506866
dnn,0.5,2,4,0.0,1.0,0.06594791954278964
dnn,0.5,2,4,0.0,10.0,0.0681708414912767
dnn,0.5,2,4,0.5,0.1,0.08577441183694949
dnn,0.5,2,4,0.5,1.0,0.06894582777620213
dnn,0.5,2,4,0.5,10.0,0.0657874763243809
dnn,0.5,2,4,1.0,0.1,0.07370126005766604
dnn,0.5,2,4,1.0,1.0,0.07085410724321264
dnn,0.5,2,4,1.0,10.0,0.06855206909337234
dnn,0.5,2,8,0.0,0.1,0.08037092663037279
dnn,0.5,2,8,0.0,1.0,0.06528540230453168
dnn,0.5,2,8,0.0,10.0,0.06524997153149645
dnn,0.5,2,8,0.5,0.1,0.08338643200928346
dnn,0.5,2,8,0.5,1.0,0.0824780536989662
dnn,0.5,2,8,0.5,10.0,0.06530208404934232
dnn,0.5,2,8,1.0,0.1,0.07262694765542015
dnn,0.5,2,8,1.0,1.0,0.07297230533246572
dnn,0.5,2,8,1.0,10.0,0.06484375038501952
dnn,0.75,1,2,0.0,0.1,0.07325414953775176
dnn,0.75,1,2,0.0,1.0,0.06765627974852881
dnn,0.75,1,2,0.0,10.0,0.05660475011914968
dnn,0.75,1,2,0.5,0.1,0.05948548188161416
dnn,0.75,1,2,0.5,1.0,0.06602561511545599
dnn,0.75,1,2,0.5,10.0,0.05180064056117165
dnn,0.75,1,2,1.0,0.1,0.06498489525324354
dnn,0.75,1,2,1.0,1.0,0.058710947612804966
dnn,0.75,1,2,1.0,10.0,0.05160295098573746
dnn,0.75,1,4,0.0,0.1,0.07158778640655025
dnn,0.75,1,4,0.0,1.0,0.07114039767999203
dnn,0.75,1,4,0.0,10.0,0.0530482225853484
dnn,0.75,1,4,0.5,0.1,0.07087110017736754
dnn,0.75,1,4,0.5,1.0,0.0613641462684609
dnn,0.75,1,4,0.5,10.0,0.05263655385118908
dnn,0.75,1,4,1.0,0.1,0.06414371867043275
dnn,0.75,1,4,1.0,1.0,0.05693291128457834
dnn,0.75,1,4,1.0,10.0,0.05323179329880077
dnn,0.75,1,8,0.0,0.1,0.07374245179802529
dnn,0.75,1,8,0.0,1.0,0.0691101572648525
dnn,0.75,1,8,0.0,10.0,0.050922764708908885
dnn,0.75,1,8,0.5,0.1,0.07569717989380782
dnn,0.75,1,8,0.5,1.0,0.06456528751024355
dnn,0.75,1,8,0.5,10.0,0.05363330239895731
