model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
linear_activation,0.05,0,0,1.0,7.4013339421880975,0.03821144479885697
linear_activation,0.05,0,0,1.0,8.182261084470007,0.03354247226007283
linear_activation,0.05,0,0,1.0,9.045585157672232,0.056280009627963104
linear_activation,0.05,0,0,1.0,10.000000000000002,0.04232089834225674
linear_activation,0.05,1,2,1.0,0.2,0.027623768996136885
linear_activation,0.05,1,2,1.0,0.22110233502181484,0.027644957770593465
linear_activation,0.05,1,2,1.0,0.24443121276049423,0.02784991550352424
linear_activation,0.05,1,2,1.0,0.27022155946779647,0.0278242573539416
linear_activation,0.05,1,2,1.0,0.29873308885782995,0.027302208736228448
linear_activation,0.05,1,2,1.0,0.33025291747372754,0.026929913904517887
linear_activation,0.05,1,2,1.0,0.36509845600603935,0.027292900376642736
linear_activation,0.05,1,2,1.0,0.4036206056789731,0.027308012230942643
linear_activation,0.05,1,2,1.0,0.44620729189270064,0.02785305891434351
linear_activation,0.05,1,2,1.0,0.4932873707061831,0.027483993583358825
linear_activation,0.05,1,2,1.0,0.5453349474995434,0.027944021604644754
linear_activation,0.05,1,2,1.0,0.6028741513057392,0.027565868620450296
linear_activation,0.05,1,2,1.0,0.6664844128899691,0.027372992162282266
linear_activation,0.05,1,2,1.0,0.7368062997280775,0.02800210686028004
linear_activation,0.05,1,2,1.0,0.8145479666433055,0.027197934916242957
linear_activation,0.05,1,2,1.0,0.900492287060531,0.02745380232669413
linear_activation,0.05,1,2,1.0,0.9955047366910887,0.02775570194950948
linear_activation,0.05,1,2,1.0,1.1005421090383833,0.026784104140785834
linear_activation,0.05,1,2,1.0,1.2166621504910964,0.026850655422856414
linear_activation,0.05,1,2,1.0,1.3450342120312204,0.026342593918244044
linear_activation,0.05,1,2,1.0,1.4869510248216484,0.026937583254339793
linear_activation,0.05,1,2,1.0,1.643841718255735,0.026238535171685118
linear_activation,0.05,1,2,1.0,1.8172862115630761,0.02654548808559775
linear_activation,0.05,1,2,1.0,2.0090311238977194,0.026682259697467084
linear_activation,0.05,1,2,1.0,2.221007363126434,0.026182822342341143
linear_activation,0.05,1,2,1.0,2.4553495704394916,0.026332386968967815
linear_activation,0.05,1,2,1.0,2.7144176165949077,0.025843597041442987
linear_activation,0.05,1,2,1.0,3.000820366267417,0.02532294982826958
linear_activation,0.05,1,2,1.0,3.3174419498137175,0.025374277427482102
linear_activation,0.05,1,2,1.0,3.667470807015676,0.02506342737873395
linear_activation,0.05,1,2,1.0,4.0544317952775275,0.024813645923820626
linear_activation,0.05,1,2,1.0,4.482221685612751,0.02369206797579924
linear_activation,0.05,1,2,1.0,4.955148403871969,0.023629055509964622
linear_activation,0.05,1,2,1.0,5.477974412378556,0.022825570124511915
linear_activation,0.05,1,2,1.0,6.055964668833263,0.022128456984025734
linear_activation,0.05,1,2,1.0,6.69493964544323,0.022092053222159538
linear_activation,0.05,1,2,1.0,7.4013339421880975,0.021624419151494895
linear_activation,0.05,1,2,1.0,8.182261084470007,0.02128655683963249
linear_activation,0.05,1,2,1.0,9.045585157672232,0.021272725327250854
linear_activation,0.05,1,2,1.0,10.000000000000002,0.021128887418657538
linear_activation,0.05,1,4,1.0,0.2,0.02790732624723265
linear_activation,0.05,1,4,1.0,0.22110233502181484,0.027960590618662535
linear_activation,0.05,1,4,1.0,0.24443121276049423,0.02774417643217991
linear_activation,0.05,1,4,1.0,0.27022155946779647,0.027591684317216272
linear_activation,0.05,1,4,1.0,0.29873308885782995,0.026895979657769197
linear_activation,0.05,1,4,1.0,0.33025291747372754,0.02734962099945793
linear_activation,0.05,1,4,1.0,0.36509845600603935,0.02735422164450089
linear_activation,0.05,1,4,1.0,0.4036206056789731,0.027085932509663204
linear_activation,0.05,1,4,1.0,0.44620729189270064,0.02748323055543005
linear_activation,0.05,1,4,1.0,0.4932873707061831,0.027437485317699607
linear_activation,0.05,1,4,1.0,0.5453349474995434,0.027793601769333084
linear_activation,0.05,1,4,1.0,0.6028741513057392,0.027616403619137902
linear_activation,0.05,1,4,1.0,0.6664844128899691,0.027975718502576154
linear_activation,0.05,1,4,1.0,0.7368062997280775,0.02802628477818022
linear_activation,0.05,1,4,1.0,0.8145479666433055,0.027526865254777173
linear_activation,0.05,1,4,1.0,0.900492287060531,0.027925380228708187
linear_activation,0.05,1,4,1.0,0.9955047366910887,0.026851527974319955
linear_activation,0.05,1,4,1.0,1.1005421090383833,0.026692976756952702
linear_activation,0.05,1,4,1.0,1.2166621504910964,0.027163073741210002
linear_activation,0.05,1,4,1.0,1.3450342120312204,0.02663379173663755
linear_activation,0.05,1,4,1.0,1.4869510248216484,0.026991045136004685
linear_activation,0.05,1,4,1.0,1.643841718255735,0.027091684435494243
linear_activation,0.05,1,4,1.0,1.8172862115630761,0.02668108250107616
linear_activation,0.05,1,4,1.0,2.0090311238977194,0.026235291671628753
