date,epoch,n_observations,learning_rate,tau,lambda,pinball_mean,gradient_norm,forecast,actual
1980-01-01,1,250,0.0001,0.9,1.0,0.03815530014038086,11.333844030182828,0.20121169090270996,0.0
1980-01-01,2,250,0.0001,0.9,1.0,0.038124137878417966,2.410859917574857,0.2012208253145218,0.0
1980-01-01,3,250,0.0001,0.9,1.0,0.038121898651123046,2.408052553997625,0.2012299746274948,0.0
1980-01-01,4,250,0.0001,0.9,1.0,0.03811966323852539,2.4033994672652557,0.20123912394046783,0.0
1980-01-01,5,250,0.0001,0.9,1.0,0.038117435455322264,2.401325956125385,0.20124827325344086,0.0
1980-01-01,6,250,0.0001,0.9,1.0,0.03811520385742188,2.4002172968466,0.20125745236873627,0.0
1980-01-01,7,250,0.0001,0.9,1.0,0.03811297607421875,2.3996919507371044,0.20126666128635406,0.0
1980-01-01,8,250,0.0001,0.9,1.0,0.03811070251464844,2.4657744206761905,0.2012757658958435,0.0
1980-01-01,9,250,0.0001,0.9,1.0,0.03810834503173828,2.466215242189835,0.20128490030765533,0.0
1980-01-01,10,250,0.0001,0.9,1.0,0.03810598754882812,2.467267230522955,0.20129407942295074,0.0
1980-01-01,11,250,0.0001,0.9,1.0,0.03810362243652344,2.4743440267001042,0.20130331814289093,0.0
1980-01-01,12,250,0.0001,0.9,1.0,0.038101154327392577,2.5952311255585556,0.20131346583366394,0.0
1980-01-01,13,250,0.0001,0.9,1.0,0.03809853363037109,2.596045392121113,0.20132367312908173,0.0
1980-01-01,14,250,0.0001,0.9,1.0,0.038095905303955076,2.599573076235833,0.2013339400291443,0.0
1980-01-01,15,250,0.0001,0.9,1.0,0.03809326934814453,2.6038097161869076,0.20134428143501282,0.0
1980-01-01,16,250,0.0001,0.9,1.0,0.03809062957763672,2.6023992383373415,0.20135468244552612,0.0
1980-01-01,17,250,0.0001,0.9,1.0,0.038087982177734375,2.608042284025551,0.2013651728630066,0.0
1980-01-01,18,250,0.0001,0.9,1.0,0.0380853271484375,2.6141192498614956,0.20137576758861542,0.0
1980-01-01,19,250,0.0001,0.9,1.0,0.03808266830444336,2.7555645344205963,0.20148734748363495,0.0
1980-01-01,20,250,0.0001,0.9,1.0,0.03808020782470703,2.823624502246744,0.20139619708061218,0.0
1980-01-01,21,250,0.0001,0.9,1.0,0.03807746124267578,2.763721891458612,0.20150795578956604,0.0
1980-01-01,22,250,0.0001,0.9,1.0,0.03807482528686523,2.8409067872478175,0.20141704380512238,0.0
1980-01-01,23,250,0.0001,0.9,1.0,0.03807218933105469,2.779702571777578,0.20152904093265533,0.0
1980-01-01,24,250,0.0001,0.9,1.0,0.038069358825683595,2.8549002856861763,0.20143833756446838,0.0
1980-01-01,25,250,0.0001,0.9,1.0,0.038066852569580076,2.7936929882281065,0.20155055820941925,0.0
1980-01-01,26,250,0.0001,0.9,1.0,0.038063838958740236,2.6345664883536606,0.20156092941761017,0.0
