model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss,family,initial_fitted_variance,architecture_lambda_zero_fitted_variance,max_lambda_zero_fitted_variance,achieved_r,valid_complexity_reference
linear_activation,0.05,2,2,1.0,4.482221685612751,0.0899599289961222,linear_activation,5.684341886080802e-14,1.898563937174913e-07,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,2,1.0,0.3302529174737275,0.0899715574025545,linear_activation,1.2885560174424882e-08,1.898563937174913e-07,0.7189088463783264,1.7923774675105118e-08,True
linear_activation,0.05,2,8,1.0,1.1005421090383831,0.089971586012784,linear_activation,1.1964039481338062e-10,1.0298867891833652e-06,0.7189088463783264,1.6641942217862174e-10,True
linear_activation,0.05,2,2,1.0,0.6664844128899691,0.0899715876519117,linear_activation,1.0216469892299074e-09,1.898563937174913e-07,0.7189088463783264,1.4211078280322965e-09,True
linear_activation,0.05,2,2,1.0,0.4932873707061831,0.0899715885708166,linear_activation,3.6955796200999202e-09,1.898563937174913e-07,0.7189088463783264,5.140539915063332e-09,True
linear_activation,0.05,2,2,1.0,0.5453349474995434,0.089971588694993,linear_activation,2.5016644311648406e-09,1.898563937174913e-07,0.7189088463783264,3.479807549688069e-09,True
linear_activation,0.05,2,4,1.0,3.000820366267417,0.0899715887943341,linear_activation,1.4210854715202004e-14,1.8334835871769428e-09,0.7189088463783264,1.9767255315875648e-14,True
linear_activation,0.05,2,8,1.0,9.045585157672232,0.0899715887943341,linear_activation,5.684341886080802e-14,1.0298867891833652e-06,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,4,1.0,5.477974412378556,0.0899715887943341,linear_activation,1.4210854715202004e-14,1.8334835871769428e-09,0.7189088463783264,1.9767255315875648e-14,True
linear_activation,0.05,2,2,1.0,1.1005421090383831,0.0899715887943341,linear_activation,4.6751266052913465e-11,1.898563937174913e-07,0.7189088463783264,6.50308676662334e-11,True
linear_activation,0.05,2,2,1.0,3.317441949813717,0.0899715887943341,linear_activation,5.684341886080802e-14,1.898563937174913e-07,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,8,1.0,4.482221685612751,0.0899715887943341,linear_activation,5.684341886080802e-14,1.0298867891833652e-06,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,2,1.0,0.3650984560060393,0.0899715902596149,linear_activation,9.831478742228228e-09,1.898563937174913e-07,0.7189088463783264,1.3675556771566564e-08,True
linear_activation,0.05,2,2,1.0,0.4036206056789731,0.0899715917000605,linear_activation,7.3068919803631616e-09,1.898563937174913e-07,0.7189088463783264,1.0163864330190622e-08,True
linear_activation,0.05,2,4,1.0,0.3302529174737275,0.0899789500471422,linear_activation,1.5226783722788184e-10,1.8334835871769428e-09,0.7189088463783264,2.1180409448981904e-10,True
linear_activation,0.05,2,8,1.0,0.6028741513057392,0.089982255224036,linear_activation,5.153696136517283e-09,1.0298867891833652e-06,0.7189088463783264,7.1687755165070616e-09,True
linear_activation,0.05,2,2,1.0,5.477974412378556,0.0899994155432885,linear_activation,5.684341886080802e-14,1.898563937174913e-07,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,4,1.0,4.955148403871969,0.0899994155432885,linear_activation,1.4210854715202004e-14,1.8334835871769428e-09,0.7189088463783264,1.9767255315875648e-14,True
linear_activation,0.05,2,4,1.0,0.6664844128899691,0.0900000068780252,linear_activation,1.2692112118239951e-11,1.8334835871769428e-09,0.7189088463783264,1.7654689022369766e-11,True
linear_activation,0.05,2,8,1.0,1.3450342120312204,0.0900000085419882,linear_activation,2.08897864284463e-11,1.0298867891833652e-06,0.7189088463783264,2.9057628840823905e-11,True
linear_activation,0.05,2,4,1.0,1.1005421090383831,0.0900000090138583,linear_activation,5.404672477789252e-13,1.8334835871769428e-09,0.7189088463783264,7.517882837325719e-13,True
linear_activation,0.05,2,8,1.0,1.4869510248216484,0.09000000963474,linear_activation,7.74838353201357e-12,1.0298867891833652e-06,0.7189088463783264,1.0777977724224548e-11,True
linear_activation,0.05,2,4,1.0,1.3450342120312204,0.0900000103301275,linear_activation,1.0084022782378896e-13,1.8334835871769428e-09,0.7189088463783264,1.4026844756716443e-13,True
linear_activation,0.05,2,8,1.0,1.643841718255735,0.0900000103301275,linear_activation,2.624119671557068e-12,1.0298867891833652e-06,0.7189088463783264,3.6501424134320954e-12,True
linear_activation,0.05,2,8,1.0,2.714417616594908,0.0900000107026566,linear_activation,8.128608598939949e-14,1.0298867891833652e-06,0.7189088463783264,1.130686962594735e-13,True
linear_activation,0.05,2,4,1.0,6.055964668833263,0.0900000107771624,linear_activation,1.4210854715202004e-14,1.8334835871769428e-09,0.7189088463783264,1.9767255315875648e-14,True
linear_activation,0.05,2,8,1.0,6.055964668833263,0.0900000107771624,linear_activation,5.684341886080802e-14,1.0298867891833652e-06,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,4,1.0,6.69493964544323,0.0900000107771624,linear_activation,1.4210854715202004e-14,1.8334835871769428e-09,0.7189088463783264,1.9767255315875648e-14,True
linear_activation,0.05,2,8,1.0,10.000000000000002,0.0900000107771624,linear_activation,5.684341886080802e-14,1.0298867891833652e-06,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,2,1.0,7.4013339421880975,0.0900000107771624,linear_activation,5.684341886080802e-14,1.898563937174913e-07,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,2,1.0,1.643841718255735,0.0900000108019976,linear_activation,1.1806946479536728e-12,1.898563937174913e-07,0.7189088463783264,1.6423426334252275e-12,True
linear_activation,0.05,2,2,1.0,1.3450342120312204,0.0900000108765034,linear_activation,8.736151559107785e-12,1.898563937174913e-07,0.7189088463783264,1.2151960019852611e-11,True
linear_activation,0.05,2,2,1.0,1.2166621504910964,0.0900047893935141,linear_activation,2.101171493740228e-11,1.898563937174913e-07,0.7189088463783264,2.9227231022755903e-11,True
linear_activation,0.05,2,2,1.0,2.714417616594908,0.0900106481348563,linear_activation,6.292566429944371e-14,1.898563937174913e-07,0.7189088463783264,8.752940601085471e-14,True
linear_activation,0.05,2,4,1.0,0.7368062997280775,0.0900231248623598,linear_activation,7.557389609946785e-12,1.8334835871769428e-09,0.7189088463783264,1.0512305764519279e-11,True
linear_activation,0.05,2,4,1.0,0.900492287060531,0.090023130698648,linear_activation,2.2966446452943323e-12,1.8334835871769428e-09,0.7189088463783264,3.194625656457315e-12,True
linear_activation,0.05,2,4,1.0,1.2166621504910964,0.0900231348958084,linear_activation,2.377760260820899e-13,1.8334835871769428e-09,0.7189088463783264,3.307457228825921e-13,True
linear_activation,0.05,2,8,1.0,5.477974412378556,0.0900231354421843,linear_activation,5.684341886080802e-14,1.0298867891833652e-06,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,8,1.0,8.182261084470007,0.0900231354421843,linear_activation,5.684341886080802e-14,1.0298867891833652e-06,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,2,1.0,2.0090311238977194,0.0900231354421843,linear_activation,1.1345946697351866e-13,1.898563937174913e-07,0.7189088463783264,1.578217705138803e-13,True
linear_activation,0.05,2,2,1.0,9.045585157672232,0.0900231354421843,linear_activation,5.684341886080802e-14,1.898563937174913e-07,0.7189088463783264,7.906902126350259e-14,True
linear_activation,0.05,2,8,1.0,2.221007363126434,0.0900231354421843,linear_activation,6.264144747619022e-14,1.0298867891833652e-06,0.7189088463783264,8.713406128156768e-14,True
linear_activation,0.05,2,4,1.0,4.482221685612751,0.0900231354421843,linear_activation,1.4210854715202004e-14,1.8334835871769428e-09,0.7189088463783264,1.9767255315875648e-14,True
