model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss,family,initial_fitted_variance,architecture_lambda_zero_fitted_variance,max_lambda_zero_fitted_variance,achieved_r,valid_complexity_reference
dnn,0.05,2,2,0.0,8.182261084470007,0.0899925563500424,dnn,1.4210854715202004e-14,1.5683493614915278e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,0.0,6.69493964544323,0.0899925563500424,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
dnn,0.05,2,2,0.0,2.455349570439492,0.0899925563500424,dnn,1.4210854715202004e-14,1.5683493614915278e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,0.8145479666433055,0.089992556499054,dnn,1.2050804656189764e-14,1.9324999933623133e-11,0.7851186394691467,1.5349023765806712e-14,True
dnn,0.05,2,2,0.0,2.221007363126434,0.0899938753595114,dnn,1.4210854715202004e-14,1.5683493614915278e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.5,0.4036206056789731,0.0899943408137659,dnn,1.2661883763698256e-09,1.6458682239317568e-07,0.7851186394691467,1.6127350857775474e-09,True
dnn,0.05,2,4,0.0,0.2,0.0900028013463135,dnn,2.881165575216449e-12,1.9324999933623133e-11,0.7851186394691467,3.669720002017188e-12,True
dnn,0.05,2,8,0.5,0.5453349474995434,0.0900067072039898,dnn,2.2114346465151868e-10,1.2262222526260302e-07,0.7851186394691467,2.8166885045684753e-10,True
dnn,0.05,2,4,0.5,0.3302529174737275,0.0900111451300698,dnn,6.10634763240081e-12,2.447398950167212e-10,0.7851186394691467,7.777611338497301e-12,True
dnn,0.05,2,2,1.0,0.2444312127604942,0.0900123867196557,dnn,9.851829929630185e-08,6.563291208294686e-06,0.7851186394691467,1.2548205372237042e-07,True
dnn,0.05,2,2,0.0,0.3650984560060393,0.0900123884829598,dnn,2.9879015928102604e-10,1.5683493614915278e-08,0.7851186394691467,3.8056689048046446e-10,True
dnn,0.05,2,8,1.0,0.8145479666433055,0.090012395436835,dnn,2.534706056156466e-10,0.00038994240458123386,0.7851186394691467,3.228436988670008e-10,True
dnn,0.05,2,8,0.0,2.455349570439492,0.0900123959335404,dnn,1.4210854715202004e-14,1.0007839001957564e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.0,0.9955047366910889,0.0900123959832109,dnn,5.036895379950668e-13,1.5683493614915278e-08,0.7851186394691467,6.41545764772103e-13,True
dnn,0.05,2,4,0.0,3.667470807015676,0.0900123960080462,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,1.0,4.955148403871969,0.0900123960080462,dnn,5.684341886080802e-14,0.00038994240458123386,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,2,0.0,5.477974412378556,0.0900123960080462,dnn,1.4210854715202004e-14,1.5683493614915278e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,0.5,5.477974412378556,0.0900123960080462,dnn,5.684341886080802e-14,1.2262222526260302e-07,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,4,0.5,2.221007363126434,0.0900123960080462,dnn,1.4210854715202004e-14,2.447398950167212e-10,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,0.0,10.000000000000002,0.0900123960080462,dnn,0.0,1.0007839001957564e-08,0.7851186394691467,0.0,True
dnn,0.05,2,4,0.0,4.482221685612751,0.0900123960080462,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,1.0,2.0090311238977194,0.0900123960080462,dnn,6.252776210214153e-14,0.00038994240458123386,0.7851186394691467,7.964116371561285e-14,True
dnn,0.05,2,8,1.0,3.317441949813717,0.0900123960080462,dnn,5.684341886080802e-14,0.00038994240458123386,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,4,0.0,4.054431795277528,0.0900123960080462,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,0.0,3.667470807015676,0.0900123960328814,dnn,1.4210854715202004e-14,1.0007839001957564e-08,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,1.0,1.4869510248216484,0.0900123960328814,dnn,1.3926637891948507e-14,8.723098687823949e-09,0.7851186394691467,1.7738259151973413e-14,True
dnn,0.05,2,2,1.0,0.4932873707061831,0.090012396082552,dnn,3.0791003080565815e-09,6.563291208294686e-06,0.7851186394691467,3.921828056634214e-09,True
dnn,0.05,2,8,0.5,1.2166621504910964,0.0900123967531042,dnn,1.8957280406919907e-13,1.2262222526260302e-07,0.7851186394691467,2.4145752570258375e-13,True
dnn,0.05,2,8,0.5,0.3650984560060393,0.0900227170280908,dnn,1.6616104048239322e-09,1.2262222526260302e-07,0.7851186394691467,2.116381297414388e-09,True
dnn,0.05,2,8,0.0,0.5453349474995434,0.0900290453791717,dnn,3.404386494931799e-11,1.0007839001957564e-08,0.7851186394691467,4.336142748099389e-11,True
dnn,0.05,2,2,0.5,0.3302529174737275,0.0900298817068437,dnn,2.909516849669558e-09,1.6458682239317568e-07,0.7851186394691467,3.705830817667009e-09,True
dnn,0.05,2,4,0.5,0.900492287060531,0.0900298831969598,dnn,1.2562395615672416e-14,2.447398950167212e-10,0.7851186394691467,1.6000633514657614e-14,True
dnn,0.05,2,4,1.0,0.900492287060531,0.0900298840910295,dnn,3.106492927479332e-13,8.723098687823949e-09,0.7851186394691467,3.9567178402231903e-13,True
dnn,0.05,2,2,0.5,0.2987330888578299,0.0900298847615818,dnn,4.120785934702553e-09,1.6458682239317568e-07,0.7851186394691467,5.248615594566444e-09,True
dnn,0.05,2,2,1.0,0.6028741513057392,0.0900298849602639,dnn,7.801655432793098e-10,6.563291208294686e-06,0.7851186394691467,9.9369127678183e-10,True
dnn,0.05,2,2,1.0,1.3450342120312204,0.0900298852086166,dnn,2.226556748219713e-13,6.563291208294686e-06,0.7851186394691467,2.835949417434779e-13,True
dnn,0.05,2,2,1.0,4.955148403871969,0.0900298852334519,dnn,5.684341886080802e-14,6.563291208294686e-06,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,8,0.5,6.055964668833263,0.0900298852334519,dnn,5.684341886080802e-14,1.2262222526260302e-07,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,8,0.5,6.69493964544323,0.0900298852334519,dnn,5.684341886080802e-14,1.2262222526260302e-07,0.7851186394691467,7.240105635403377e-14,True
