family,tau,target_r,achieved_r,distance_to_target_r,nonlinear_layers,hidden_dim,alpha,lambda,initial_fitted_variance,architecture_lambda_zero_fitted_variance,max_lambda_zero_fitted_variance,validation_loss
linear_activation,0.05,0.1,2.1450700010518162e-07,0.0999997854929999,2,8,1.0,0.2,1.5421097998569167e-07,1.0298867891833652e-06,0.7189088463783264,0.1310950519014692
linear_activation,0.05,0.2,0.24747740477821234,0.04747740477821233,1,4,1.0,10.000000000000002,0.17791369557380676,0.6089769005775452,0.7189088463783264,0.1051523471690829
linear_activation,0.05,0.3,0.29744975847937977,0.0025502415206202222,1,8,1.0,10.000000000000002,0.21383926272392273,0.586049497127533,0.7189088463783264,0.1045692697607095
linear_activation,0.05,0.4,0.3983747508247253,0.0016252491752747344,1,8,1.0,4.955148403871969,0.2863951325416565,0.586049497127533,0.7189088463783264,0.1163274153028703
linear_activation,0.05,0.5,0.500689520000723,0.0006895200007229763,1,8,1.0,3.317441949813717,0.35995012521743774,0.586049497127533,0.7189088463783264,0.1271011737071123
linear_activation,0.05,0.6,0.5999551125920289,4.4887407971039295e-05,1,8,1.0,1.643841718255735,0.43131303787231445,0.586049497127533,0.7189088463783264,0.1305199065390661
linear_activation,0.05,0.7,0.7005209808006424,0.0005209808006424455,0,0,1.0,4.955148403871969,0.5036107301712036,0.7189088463783264,0.7189088463783264,0.1194705061617269
linear_activation,0.05,0.8,0.8010445649714554,0.0010445649714553307,0,0,1.0,2.0090311238977194,0.5758780241012573,0.7189088463783264,0.7189088463783264,0.1259689368706938
linear_activation,0.05,0.9,0.9020052500192973,0.0020052500192973,1,2,1.0,0.9955047366910889,0.6484595537185669,0.5914097428321838,0.7189088463783264,0.1358994929143438
linear_activation,0.05,1.0,1.0,0.0,0,0,1.0,0.8145479666433055,0.9930755496025085,0.7189088463783264,0.7189088463783264,0.1297255954902781
linear_activation,0.1,0.1,5.561121168515876e-05,0.09994438878831485,2,8,1.0,0.2,4.470967178349383e-05,0.0006630266434513032,0.8039686679840088,0.1811251158831961
linear_activation,0.1,0.2,0.337247067025811,0.13724706702581096,1,2,1.0,10.000000000000002,0.271136075258255,0.6277742981910706,0.8039686679840088,0.1648797243057781
linear_activation,0.1,0.3,0.337247067025811,0.03724706702581099,1,2,1.0,10.000000000000002,0.271136075258255,0.6277742981910706,0.8039686679840088,0.1648797243057781
linear_activation,0.1,0.4,0.4021140901085351,0.0021140901085350827,1,4,1.0,8.182261084470007,0.32328712940216064,0.6444541215896606,0.8039686679840088,0.1718676253075184
linear_activation,0.1,0.5,0.4998949834953941,0.00010501650460592593,1,2,1.0,6.69493964544323,0.40189990401268005,0.6277742981910706,0.8039686679840088,0.1747270787956034
linear_activation,0.1,0.6,0.5937523446148664,0.00624765538513361,1,8,1.0,4.054431795277528,0.47735828161239624,0.8039686679840088,0.8039686679840088,0.1742651808308748
linear_activation,0.1,0.7,0.7011529055134665,0.0011529055134665844,1,4,1.0,1.2166621504910964,0.5637049674987793,0.6444541215896606,0.8039686679840088,0.1795731912870978
linear_activation,0.1,0.8,0.7996228747224643,0.0003771252775357503,1,4,1.0,2.714417616594908,0.6428717374801636,0.6444541215896606,0.8039686679840088,0.1735667863344528
linear_activation,0.1,0.9,0.8995463198035402,0.00045368019645986024,1,4,1.0,0.900492287060531,0.7232070565223694,0.6444541215896606,0.8039686679840088,0.1822451467581255
linear_activation,0.1,1.0,1.0,0.0,0,0,1.0,1.817286211563076,0.9341543912887573,0.7437564730644226,0.8039686679840088,0.1765815685528235
linear_activation,0.25,0.1,0.08647251978460972,0.013527480215390283,2,8,1.0,1.2166621504910964,0.09990052878856659,0.658826470375061,1.155286431312561,0.2918842167526777
linear_activation,0.25,0.2,0.23977332117803235,0.03977332117803234,2,2,1.0,0.900492287060531,0.2770068645477295,0.7424715757369995,1.155286431312561,0.2579292114693149
linear_activation,0.25,0.3,0.31392192128049595,0.013921921280495964,1,8,1.0,10.000000000000002,0.3626697361469269,0.7330449223518372,1.155286431312561,0.2686164100102054
linear_activation,0.25,0.4,0.3978113493158,0.002188650684200044,0,0,1.0,5.477974412378556,0.4595860540866852,1.155286431312561,1.155286431312561,0.2997973547339972
linear_activation,0.25,0.5,0.5000895137828009,8.95137828008652e-05,1,2,1.0,4.955148403871969,0.5777466297149658,0.7393655776977539,1.155286431312561,0.2740211067766299
linear_activation,0.25,0.6,0.5983568674613015,0.0016431325386985218,1,4,1.0,3.000820366267417,0.69127357006073,0.9008379578590393,1.155286431312561,0.2771196191978777
linear_activation,0.25,0.7,0.6999163678144552,8.363218554474638e-05,1,8,1.0,1.3450342120312204,0.8086038827896118,0.7330449223518372,1.155286431312561,0.2919016495877928
linear_activation,0.25,0.8,0.7973935753352639,0.002606424664736151,0,0,1.0,7.4013339421880975,0.9212179780006409,1.155286431312561,1.155286431312561,0.3079306250065692
linear_activation,0.25,0.9,0.904156999436089,0.004156999436088937,0,0,1.0,2.221007363126434,1.0445603132247925,1.155286431312561,1.155286431312561,0.3424591292689534
linear_activation,0.25,1.0,1.0,0.0,0,0,1.0,1.1005421090383831,1.3117541074752808,1.155286431312561,1.155286431312561,0.3150850814456137
linear_activation,0.5,0.1,0.11390160440207997,0.013901604402079965,2,4,1.0,0.2444312127604942,0.09878110140562057,0.6557310819625854,0.8672494292259216,0.3652449606279448
linear_activation,0.5,0.2,0.18151717339983675,0.01848282660016326,2,4,1.0,0.2211023350218148,0.15742066502571106,0.6557310819625854,0.8672494292259216,0.3633234839825515
linear_activation,0.5,0.3,0.36540344828131294,0.06540344828131295,1,8,1.0,10.000000000000002,0.3168959319591522,0.8672494292259216,0.8672494292259216,0.3226636277586839
linear_activation,0.5,0.4,0.404788587735655,0.004788587735654992,1,2,1.0,8.182261084470007,0.3510526716709137,0.7203308343887329,0.8672494292259216,0.329194755265239
linear_activation,0.5,0.5,0.5035147691437908,0.0035147691437907858,2,2,1.0,1.817286211563076,0.4366728961467743,0.7858675718307495,0.8672494292259216,0.3219301709613499
linear_activation,0.5,0.6,0.5995727431783479,0.0004272568216521222,1,8,1.0,4.482221685612751,0.5199791193008423,0.8672494292259216,0.8672494292259216,0.341825851861808
linear_activation,0.5,0.7,0.6985233227338141,0.001476677266185833,2,2,1.0,0.2,0.6057939529418945,0.7858675718307495,0.8672494292259216,0.3649226549549239
linear_activation,0.5,0.8,0.7964482000072715,0.003551799992728588,2,8,1.0,0.6664844128899691,0.6907192468643188,0.5551693439483643,0.8672494292259216,0.3627838960261432
linear_activation,0.5,0.9,0.8974228302331452,0.0025771697668548477,1,8,1.0,0.2,0.7782894372940063,0.8672494292259216,0.8672494292259216,0.3610165478173919
linear_activation,0.5,1.0,1.0,0.0,1,8,1.0,0.9955047366910889,0.9474667906761169,0.8672494292259216,0.8672494292259216,0.3515363363976861
linear_activation,0.75,0.1,0.014334898654501644,0.08566510134549836,2,4,1.0,0.4932873707061831,0.013764634728431702,0.8063222765922546,0.9602184891700745,0.2935737337887494
linear_activation,0.75,0.2,0.23284501545116068,0.03284501545116067,2,4,1.0,0.4462072918927006,0.22358208894729614,0.8063222765922546,0.9602184891700745,0.2972458884901094
linear_activation,0.75,0.3,0.35087291314047303,0.05087291314047304,0,0,1.0,9.045585157672232,0.33691465854644775,0.6317809224128723,0.9602184891700745,0.3572337269815521
linear_activation,0.75,0.4,0.39666754253142794,0.003332457468572081,0,0,1.0,8.182261084470007,0.380887508392334,0.6317809224128723,0.9602184891700745,0.3601512839081432
linear_activation,0.75,0.5,0.5011052593909804,0.0011052593909803843,1,2,1.0,10.000000000000002,0.48117053508758545,0.6602645516395569,0.9602184891700745,0.2652415746448317
