date,epoch,n_observations,learning_rate,tau,lambda,pinball_mean,gradient_norm,forecast,actual
1980-01-01,1,250,0.0003,0.95,1.0,0.024860076904296875,0.6834122375030321,0.29984840750694275,0.0
1980-01-01,2,250,0.0003,0.95,1.0,0.024864673614501953,8.513842463209391,0.3023987412452698,0.0
1980-01-01,3,250,0.0003,0.95,1.0,0.02488404846191406,2.5430174099547687,0.30164870619773865,0.0
1980-01-01,4,250,0.0003,0.95,1.0,0.02487654685974121,2.542965958414637,0.30089864134788513,0.0
1980-01-01,5,250,0.0003,0.95,1.0,0.024869043350219725,2.5429137849912133,0.3001485764980316,0.0
1980-01-01,6,250,0.0003,0.95,1.0,0.024861541748046875,2.5428567430626017,0.2993985116481781,0.0
1980-01-01,7,250,0.0003,0.95,1.0,0.024879955291748048,8.513741552336189,0.3019488453865051,0.0
1980-01-01,8,250,0.0003,0.95,1.0,0.024879541397094727,2.542758355467004,0.301198810338974,0.0
1980-01-01,9,250,0.0003,0.95,1.0,0.024872037887573244,2.542703997010831,0.3004487454891205,0.0
1980-01-01,10,250,0.0003,0.95,1.0,0.02486453628540039,2.542649687438747,0.29969868063926697,0.0
1980-01-01,11,250,0.0003,0.95,1.0,0.024869741439819334,8.513672895059438,0.302249014377594,0.0
1980-01-01,12,250,0.0003,0.95,1.0,0.024882535934448242,2.542552334426153,0.3014989495277405,0.0
1980-01-01,13,250,0.0003,0.95,1.0,0.02487503242492676,2.542498273694422,0.30074888467788696,0.0
1980-01-01,14,250,0.0003,0.95,1.0,0.02486753273010254,2.542444966122618,0.29999884963035583,0.0
1980-01-01,15,250,0.0003,0.95,1.0,0.02486005401611328,0.6806854429118976,0.29984885454177856,0.0
1980-01-01,16,250,0.0003,0.95,1.0,0.024864620208740234,8.513584681181024,0.3023991882801056,0.0
1980-01-01,17,250,0.0003,0.95,1.0,0.024884029388427733,2.542297000931074,0.3016491234302521,0.0
1980-01-01,18,250,0.0003,0.95,1.0,0.024876527786254883,2.542241530684005,0.30089905858039856,0.0
1980-01-01,19,250,0.0003,0.95,1.0,0.024869022369384767,2.5421902700406753,0.30014899373054504,0.0
1980-01-01,20,250,0.0003,0.95,1.0,0.024861522674560547,2.542136621105434,0.2993989586830139,0.0
1980-01-01,21,250,0.0003,0.95,1.0,0.024879905700683595,8.513491823108641,0.30194926261901855,0.0
1980-01-01,22,250,0.0003,0.95,1.0,0.024879522323608398,2.5420375712471635,0.3011992275714874,0.0
1980-01-01,23,250,0.0003,0.95,1.0,0.02487202072143555,2.541986565852763,0.3004491627216339,0.0
1980-01-01,24,250,0.0003,0.95,1.0,0.024864517211914062,2.5419331832254217,0.2996990978717804,0.0
1980-01-01,25,250,0.0003,0.95,1.0,0.02486968994140625,8.513425006005964,0.3022494316101074,0.0
1980-01-01,26,250,0.0003,0.95,1.0,0.024882516860961913,2.5418366752868717,0.3014993667602539,0.0
1980-01-01,27,250,0.0003,0.95,1.0,0.024875017166137697,2.5417859185103464,0.3007493019104004,0.0
1980-01-01,28,250,0.0003,0.95,1.0,0.024867515563964843,2.5417327988911915,0.2999992370605469,0.0
1980-01-01,29,250,0.0003,0.95,1.0,0.02486003112792969,0.6779916148318361,0.2998492419719696,0.0
1980-01-01,30,250,0.0003,0.95,1.0,0.024864572525024414,8.513327382492067,0.30239957571029663,0.0
1980-01-01,31,250,0.0003,0.95,1.0,0.024884012222290038,2.5415881289965627,0.3016495108604431,0.0
1980-01-01,32,250,0.0003,0.95,1.0,0.024876510620117188,2.541537680953536,0.3008994460105896,0.0
1980-01-01,33,250,0.0003,0.95,1.0,0.024869009017944334,2.5414848903333866,0.3001493811607361,0.0
1980-01-01,34,250,0.0003,0.95,1.0,0.024861507415771485,2.5414345707480397,0.29939931631088257,0.0
1980-01-01,35,250,0.0003,0.95,1.0,0.02487986183166504,8.513311276605593,0.3019496500492096,0.0
1980-01-01,36,250,0.0003,0.95,1.0,0.02487950897216797,2.5413398845054678,0.3011995851993561,0.0
1980-01-01,37,250,0.0003,0.95,1.0,0.024872007369995116,2.541289747324163,0.30044952034950256,0.0
1980-01-01,38,250,0.0003,0.95,1.0,0.024864503860473633,2.5412389607670574,0.29969945549964905,0.0
1980-01-01,39,250,0.0003,0.95,1.0,0.024869644165039062,8.513290785764418,0.3022497892379761,0.0
1980-01-01,40,250,0.0003,0.95,1.0,0.024882503509521484,2.5411493076859553,0.30149972438812256,0.0
1980-01-01,41,250,0.0003,0.95,1.0,0.024875003814697264,2.541096415439795,0.30074965953826904,0.0
1980-01-01,42,250,0.0003,0.95,1.0,0.02486750030517578,2.5410465773048414,0.2999995946884155,0.0
1980-01-01,43,250,0.0003,0.95,1.0,0.02486001205444336,1.5672683131723255,0.29954954981803894,0.0
1980-01-01,44,250,0.0003,0.95,1.0,0.024874732971191405,8.513193076119975,0.3021000027656555,0.0
